company_name,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18
C_238,260.169,680.355,14.982,8.598,68.231,-32.108,119.414,139.348,796.167,442.706,22.692,-6.384,115.812,255.382,163.32,796.167,330.479,787.569
C_2808,521.68,81.593,8.9,-37.64,0.0,-38.33,32.636,2882.169,411.769,807.354,3.5,-46.54,330.176,68.48,-252.68,411.769,102.345,449.409
C_8519,33.766,212.674,19.681,-5.829,0.0,-61.515,9.878,48.9044,382.597,122.196,21.678,-25.51,169.923,94.393,-142.384,382.597,124.182,388.426
C_3555,6.674,0.644,1.363,-2.378,0.0,-8.089,0.445,14.7499,0.766,11.741,0.0,-3.741,0.122,28.839,-90.234,0.766,28.839,3.144
C_7186,0.729,4.533,0.965,-3.703,0.0,-14.421,0.338,8.2348,5.635,10.237,0.0,-4.668,1.102,11.018,-52.382,5.635,11.208,9.338
C_4972,10.838,8.94,0.995,-5.021,2.559,-8.416,5.076,4.7244,31.562,14.117,0.062,-6.016,22.622,10.506,-198.172,31.562,10.645,36.583
C_5661,292.026,558.662,14.127,249.843,0.0,166.268,140.047,1907.3424,923.828,483.716,334.446,235.716,365.166,134.867,-106.021,923.828,496.638,673.985
C_1089,626.035,4429.329,37.834,104.075,362.526,-93.872,239.925,261.1907,4820.797,1003.617,371.058,66.241,391.468,302.412,211.456,4820.797,707.228,4716.722
C_7294,47.875,63.075,25.545,41.587,10.862,18.929,1.927,217.4784,117.681,421.279,76.098,16.042,54.606,41.718,-222.218,117.681,188.655,76.094
C_1249,15.216,289.408,12.816,14.568,9.419,-13.486,0.834,7.5279,320.339,110.873,34.313,1.752,30.931,29.456,-46.389,320.339,118.94,305.771
C_6858,203.498,580.441,101.706,-17.034,0.0,-133.428,75.579,447.9299,879.106,573.504,20.819,-118.74,298.665,155.984,-2806.986,879.106,208.492,896.14
C_1316,1.503,0.215,0.004,-1.279,0.0,-0.178,0.002,1.1405,0.237,2.505,0.0,-1.283,0.022,0.278,-6.446,0.237,0.278,1.516
C_5194,146.167,147.298,8.649,-7.247,58.112,-28.069,49.137,132.0124,241.604,277.027,0.177,-15.896,94.306,71.889,12.052,241.604,73.03,248.851
C_6551,231.405,495.379,79.219,206.43,7.682,85.5,177.397,1717.7633,854.617,1107.19,1.62,127.211,359.238,188.591,141.816,854.617,258.751,648.187
C_2840,11.978,255.811,19.883,22.673,2.374,-1.991,5.379,326.9763,314.101,240.522,45.758,2.79,58.29,23.273,-20.985,314.101,109.443,291.428
C_7119,1.369,2.979,0.91,-32.898,0.0,-37.577,0.193,83.044,3.82,4.956,0.0,-33.808,0.841,7.98,-191.503,3.82,12.697,36.718
C_1014,290.262,81.681,13.614,96.385,49.94,63.415,82.06,867.7671,373.208,440.579,152.7,82.771,291.527,118.389,139.66,373.208,297.545,276.823
